OBJECTID,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN
1012,10,14,88,88
1013,10,24,11,0
1014,10,50,11,16
1015,99,99,99,99
1016,23,5,0,57
1017,14,23,88,88
1018,99,99,99,99
1019,15,30,88,88
1020,16,30,99,99
1021,99,99,99,99
1022,17,0,88,88
1023,0,57,88,88
1024,99,99,99,99
1025,99,99,99,99
1026,99,99,99,99
1027,99,99,99,98
1028,1,44,1,50
1029,13,32,88,88
1030,15,44,99,99
1031,19,30,19,35
1032,99,99,99,99
1033,6,2,6,20
1034,17,57,18,16
1035,10,55,99,99
1036,99,99,99,99
1037,17,27,99,99
1038,20,57,88,88
1039,16,25,16,49
1040,11,10,11,39
1041,14,38,88,88
1042,19,50,20,10
1043,21,57,22,32
1044,18,28,88,88
1045,10,57,11,42
1046,99,99,99,99
1047,99,99,88,88
1048,99,99,88,88
1049,99,99,88,88
1050,99,99,99,99
1051,99,99,88,88
1052,5,28,5,51
1053,99,99,99,99
1054,99,99,99,99
1055,99,99,88,88
1056,99,99,88,88
1057,99,99,88,88
1058,99,99,99,99
1059,99,99,99,99
1060,18,50,19,4
1061,99,99,99,99
1062,22,22,88,88
1063,6,10,99,99
1064,99,99,99,98
1065,99,99,99,98
1066,99,99,99,99
1067,99,99,99,99
1068,99,99,99,98
1069,99,99,99,98
1070,23,56,99,99
1071,22,59,88,88
1072,99,99,99,98
1073,99,99,88,88
1074,20,55,21,9
1075,0,56,88,88
1076,10,45,88,88
1077,99,99,88,88
1078,99,99,99,99
1079,99,99,99,98
1080,19,19,99,99
1081,18,4,88,88
1082,22,15,99,99
1083,10,16,10,28
1084,15,8,15,17
1085,19,26,88,88
1086,7,40,99,99
1087,22,26,22,41
1088,13,44,13,57
1089,15,48,88,88
1090,16,50,17,4
1091,99,99,88,88
1092,99,99,99,99
1093,99,99,88,88
1094,7,40,99,99
1095,20,22,88,88
1096,99,99,88,88
1097,17,11,17,50
1098,7,54,8,2
1099,99,99,99,98
1100,8,48,9,5
1101,19,15,19,29
1102,99,99,99,99
1103,21,12,99,99
1104,22,10,22,14
1105,99,99,99,99
1106,12,16,88,88
1107,12,32,88,88
1108,13,9,13,38
1109,99,99,99,99
1110,11,4,14,33
1111,99,99,99,99
1112,4,12,88,88
1113,5,43,88,88
1114,10,32,99,99
1115,17,38,99,99
1116,0,35,99,99
1117,2,35,88,88
1118,20,47,21,7
1119,2,48,88,88
1120,5,16,6,10
1121,11,0,88,88
1122,14,11,14,53
1123,99,99,99,98
1124,9,1,9,15
1125,99,99,99,99
1126,13,0,13,19
1127,16,38,17,18
1128,17,20,88,88
1129,19,19,19,35
1130,99,99,99,99
1131,10,28,99,99
1132,16,41,17,39
1133,99,99,99,99
1134,20,50,88,88
1135,99,99,99,99
1136,11,29,11,34
1137,99,99,99,99
1138,99,99,99,99
1139,11,12,11,50
1140,19,29,19,47
1141,99,99,99,99
1142,99,99,99,99
1143,4,46,4,56
1144,21,47,21,56
1145,2,39,99,99
1146,99,99,99,99
1147,99,99,99,99
1148,99,99,99,99
1149,9,1,88,88
1150,99,99,99,99
1151,99,99,99,99
1152,22,56,23,32
1153,13,30,88,88
1154,19,58,20,35
1155,99,99,99,99
1156,14,5,88,88
1157,99,99,99,99
1158,3,2,4,12
1159,99,99,99,99
1160,21,38,88,88
1161,0,37,88,88
1162,99,99,99,99
1163,23,22,99,99
1164,7,32,88,88
1165,99,99,88,88
1166,17,40,99,99
1167,3,29,88,88
1168,11,38,88,88
1169,12,32,12,47
1170,22,16,22,25
1171,12,10,99,99
1172,5,58,99,99
1173,11,26,99,99
1174,19,10,19,20
1175,2,59,88,88
1176,3,29,88,88
1177,11,35,88,88
1178,99,99,99,99
1179,99,99,88,88
1180,11,53,12,18
1181,14,45,99,99
1182,99,99,88,88
1183,99,99,99,99
1184,4,44,99,99
1185,9,52,88,88
1186,14,13,14,52
1187,12,1,88,88
1188,14,13,88,88
1189,23,38,99,99
1190,99,99,99,99
1191,17,39,18,4
1192,1,49,88,88
1193,99,99,99,99
1194,14,8,99,99
1195,0,45,99,99
1196,6,38,7,6
1197,21,50,99,99
1198,14,1,99,99
1199,14,27,14,45
1200,20,49,22,30
1201,21,8,21,24
1202,99,99,99,99
1203,21,41,99,99
1204,99,99,99,99
1205,23,14,23,42
1206,17,56,18,15
1207,22,26,88,88
1208,8,7,88,88
1209,10,52,11,11
1210,10,38,88,88
1211,16,45,88,88
1212,99,99,99,99
1213,99,99,99,99
1214,19,10,19,30
1215,99,99,99,99
1216,7,0,88,88
1217,14,48,99,99
1218,17,19,88,88
1219,11,44,12,0
1220,16,50,88,88
1221,20,6,20,23
1222,99,99,99,99
1223,23,35,99,99
1224,18,1,18,23
1225,16,51,88,88
1226,21,20,88,88
1227,5,45,6,11
1228,11,12,99,99
1229,14,50,15,8
1230,18,44,88,88
1231,14,21,99,99
1232,15,16,15,40
1233,15,10,99,99
1234,18,35,18,58
1235,17,22,17,35
1236,12,56,14,7
1237,12,43,99,99
1238,15,2,15,15
1239,99,99,99,99
1240,88,88,88,88
1241,20,0,88,88
1242,99,99,88,88
1243,18,44,19,8
1244,19,56,88,88
1245,10,38,10,56
1246,4,56,88,88
1247,12,57,99,99
1248,5,48,88,88
1249,99,99,99,99
1250,20,40,99,99
1251,99,99,99,99
1252,0,14,0,33
1253,17,52,88,88
1254,4,0,5,15
1255,11,28,88,88
1256,99,99,99,99
1257,99,99,99,99
1258,99,99,99,99
1259,12,30,88,88
1260,12,38,12,53
1261,12,15,13,0
1262,19,25,19,45
1263,99,99,99,99
1264,99,99,99,99
1265,99,99,99,99
1266,99,99,88,88
1267,15,56,88,88
1268,18,23,18,34
1269,15,52,88,88
1270,99,99,99,99
1271,4,55,88,88
1272,99,99,99,99
1273,19,55,88,88
1274,0,37,88,88
1275,0,35,99,99
1276,8,53,99,99
1277,99,99,88,88
1278,20,38,88,88
1279,99,99,99,99
1280,99,99,99,99
1281,9,8,88,88
1282,16,10,16,28
1283,21,48,22,10
1284,5,14,99,99
1285,12,35,99,99
1286,21,8,88,88
1287,6,19,7,5
1288,10,56,88,88
1289,99,98,88,88
1290,99,99,99,99
1291,10,13,99,99
1292,15,4,15,28
1293,16,3,16,14
1294,16,20,17,15
1295,99,99,99,99
1296,2,35,88,88
1297,21,40,21,55
1298,0,43,1,7
1299,7,30,88,88
1300,14,17,14,47
1301,18,31,18,54
1302,23,51,99,99
1303,99,99,99,99
1304,99,99,99,99
1305,22,16,88,88
1306,22,19,88,88
1307,99,99,88,88
1308,99,99,88,88
1309,16,44,17,6
1310,18,54,19,13
1311,99,99,88,88
1312,99,99,88,88
1313,99,99,99,98
1314,99,99,88,88
1315,99,99,99,99
1316,18,53,19,35
1317,18,50,88,88
1318,14,30,14,38
1319,99,99,88,88
1320,0,48,88,88
1321,6,40,88,88
1322,13,50,99,99
1323,99,99,99,99
1324,15,24,15,40
1325,11,20,88,88
1326,99,99,88,88
1327,12,44,99,99
1328,13,29,88,88
1329,6,36,6,53
1330,99,99,99,99
1331,12,40,88,88
1332,21,0,88,88
1333,99,99,88,88
1334,18,11,99,99
1335,99,99,99,99
1336,99,99,99,99
1337,1,10,88,88
1338,2,54,99,99
1339,99,99,99,99
1340,99,98,88,88
1341,22,44,22,55
